Unnamed: 0,text,label
1312, ഞങ്ങളെ സഹോദരനെ കൊന്നിട്ട് ആരും ഇന്ന്   പഠിക്കാൻ ഇരിക്കണ്ട    പിറ്റെ ദിവസം സമരമല്ലെ    ഇന്ന് ഒന്ന് അടിച്ച് പൊളിക്കട്ടെ    സഗാവെ എവിടേക്കാണ്      ഞമ്മടെ   പാർട്ടി വക തിരുവാതിര കളിയുണ്ട്    രണ്ട് ദിവസമായി ,original
3692,കഷ്ടം തിരുവാതിരയെ നാണം കെടുത്തി,original
1938,cammi china covid kaaranam lokam muzhuvan anubhabhikunnulaka janatha chinaye ottapeduttuka boycott cammi china productsthumbsupthumbsup,Fake
4653,covid positive ayi eee vedio kanunnalenjn  facewithtearsofjoy,Fake
1163,avatharanam poli,original
5081,ഇ ഷർട്ട് യൂണിഫോം ആണോ,Fake
3632,ഇവിടെ മെഗാ തിരുവാതിര അവിടെ വിലാപയാത്രഉളുപ്പ് ഇല്ലാത്ത വർഗ്ഗം facewithtearsofjoyfacewithtearsofjoy,original
1088,pinarayi ku romancham varununu,original
392,serikkum andames,original
162,അയ്യോ കൊറോണയെ എല്ലാരും ചേർന്നു ചവിട്ടി കൊല്ലുന്നേ,original
2752,  ലക്ഷം പേർ മരിക്കും  എന്ന് താങ്കൾ പറഞ്ഞിരുന്നു,Fake
3684,onnum parayanilla cpm ellam mandhbudhikalaan,original
2353,very true,Fake
819,പന്നപട്ടികൾ ആണ് ചൈനക്കാർ വെളിവ് ഇല്ലാത്തവന്മാർ ഊളകൾ,Fake
2607,വിടപറയുകയാണോ നീ കൊറോണ അകലെ അകലെ നീ പോയി മറയുകയാണോ,Fake
1663,ഇത് മറ്റൊന്നുമല്ല മറ്റുള്ള രാജ്യങ്ങളെ തകത്താൽ മൊത്തം ഒറ്റ രാജ്യമായി ചൈനക്ക് കിട്ടും ഒരു പക്ഷെ ഇതിനുള്ള ശരിയായ മരുന്നുകൾ കണ്ട്പിടിച്ചിട്ടുമുണ്ടാകാം മറ്റുള്ള രാജ്യങ്ങളുടെ കണ്ണിൽ പൊടിയിട്ട് തങ്ങളുടെ കുറച്ചാളുകളെയും അങ്ങ് കൊല്ലുംഅപ്പോൾ ആരും സംശയിക്കില്ലല്ലോ ചിലപ്പോൾ അങ്ങനെ ആണെങ്കിലോ,Fake
1398,അവിടുത്തെ  പ്രായമായവരും ഹാർട് പേഷ്യന്റ്ഉം  മുഴുവൻ മരിച്ചു കഴിഞ്ഞു കാണും,Fake
4402,വിവരം ഇല്ലാത്ത സിപിഎം,original
4101,ബുദ്ധി ല്ലാത്ത ടീമെല്ലെ,original
1975,anubhavicho,original
825,തൊലിക്കട്ടി  മോനേ,original
709,adipoly avatharanam,original
585,iavanmarku nanam illedey,original
1498,nanamillatha vargangal,original
888,puure,original
1179,katta waiting ayirunnu,original
3409,ആശാന് അടുപ്പിലും ആവാം  പാവം പ്രവാസിയുടെ കാര്യം,original
725,life of doctors is very shortwhy,Fake
4808,up യിലെ സോനം പൂരിലെ സ്വർണ്ണ ഘനി തുറക്കാനായോ സർ,Fake
3696,ഞങ്ങൾക്ക് അടുപ്പിലും ആകാം ഞങ്ങൾക്ക്‌ ഇതൊന്നും ബാധകമല്ല ഞങ്ങൾക്ക്‌ ഇതൊന്നും പുത്തരിയല്ല എന്ന് ഇരട്രച്ചെങ്കനും കൂട്ടരും,original
1288,എന്തിനാ അവരെ ഹോസ്പിറ്റലിൽ പ്രവേശിപ്പിച്ചത് മസ്‌ജിദിൽ തന്നെ പൂട്ടമായിരുന്നില്ലേ നിങ്ങൾക്ക് ചാ വണമെങ്കിൽ ചത്തുകൂടെ മറ്റുള്ളവരെ കൊല്ലണമോ,Fake
648,marunadan mottham fake news anallo mairaaaa,Fake
3831, ശതമാനം ഉറപ്പാണ് കൊറോണ വൈറസ് ചൈന യിലെ ലാബിൽ നിന്ന് പുറത്ത് വന്നതാണ് ,Fake
4269,നാളെ എന്റെ കല്യാണം ആണ്  പേരെ വിളിച്ചിട്ടുള്ളു പിന്നെ  പേർ അടങ്ങുന്ന തിരുവാതിര കളി ഉണ്ട് അപ്പോൾ കുഴപ്പം ഇല്ലല്ലോ,original
3177,oro natil oro tharthil ane corona ilathakune north indiayil patram kotiyum go corona parnjum south indiayil thiruvathira kalichum oke venam athu cheyan  namude acharangal sanrakshikapedanamalo,original
3507,uluppu thottu theendiyittillatha vargangalithilum adikam paranjal nammude uluppu pokum,original
2316,കൊറോണ തന്നെ വലിയ തട്ടിപ്പാണ് മനുഷ്യരെ ഭയപ്പെടുത്തി കൊല്ലുന്ന ഒരു  ചതിയാണ്,Fake
2261,ബുദ്ദി ഇല്ലെങ്കിൽ എന്ത് ചെയ്യാനാ pensiveface,Fake
4528,mr സാജൻ സർ    നിങ്ങൾക്ക്    ഇപ്പോൾ   എന്താ    ഇത്ര നാണക്കേട്  ഉണ്ടാകാൻ മാത്രം ചെയ്തത് നിങ്ങൾ    അന്ന് നിങ്ങൾക്ക് രാജ്യ ദ്രോഹം ആയിരുന്നല്ലോ   ഏകദേശം  ഒരുപോലെ ആയിരുന്നല്ലോ രണ്ട് പരിപാടിയും   എന്നിട്ട് എന്തെ     തരം ഫീൽ വന്നത്     പറയാൻ ധൈര്യം ഇല്ല അല്ലേ grinningfacewithsmilingeyesgrinningfacewithsmilingeyesfacewithhandovermouth,Fake
4282, കൊറോണയെ കുറിച്ച് പറഞ്ഞ് ജനങ്ങളെ പേടിപ്പിക്കുന്നവരും ജനങ്ങളും അറിയാൻ ഈ കണക്ക് ഒന്ന് കേൾക്കുക    കണക്ക് പറയാനുള്ള അല്ലങ്കിൽ അത് മനസ്സിലാക്കാനുള്ള സൗകര്യാർത്ഥം  കേരളത്തിലെ കണക്ക് മാത്രമാണ് പറയുന്നത്    കേരളത്തിൽ ഇതുവരെ   ലക്ഷത്തിലധികം ആളുകൾ കൊറോണ പിടിപെട്ട് രോഗമുക്തരായ് കേരളത്തിലെ മൊത്തം ജനസംഖ്യ മൂന്ന് കോടി   ലക്ഷം  ഈ മൂന്ന് കോടി   ലക്ഷത്തിൽ നിന്നും   ലക്ഷം കുറച്ചാൽ ബാക്കി മൂന്ന് കോടി   ലക്ഷം    കഴിഞ്ഞ ഒരു വർഷം കൊണ്ട് ഒരു കോടി   ലക്ഷം സാമ്പിൾ പരിശോധന ആരോഗ്യ വകുപ്പ് നടത്തി  ഈ ഒരു വർഷത്തെ സാമ്പിൾ പരിശോധനയിൽ  പതിനായിരം സാമ്പിളിൽ നിന്ന്   പോസിറ്റീവ് കേസ് റിപ്പോർട്ട് ചെയ്യുന്നു  ഇത് ടെസ്റ്റ് പൊസിറ്റിവാകുന്ന ആവറേജ് കണക്കാണ്  അതായത്    സാമ്പിൾ പരിശോധിച്ചാൽ   പോസിറ്റ് കേസുകൾ  എങ്കിൽ ഒരു ലക്ഷം സാമ്പിൾ പരിശോധിച്ചാലോ     പോസിറ്റിവ് കേസുകൾ  ഇത്രയും കാര്യങ്ങൾ വ്യക്തമായല്ലോ  ഇതു വരെ കോ റോണ പിടിച്ചത്   ലക്ഷം അളുകൾക്കാണന്ന് ആദ്യമേ പറഞ്ഞു ok  ബാക്കി വരുന്ന   കോടി   ലക്ഷം ആളുകളിൽ നിന്നും  ഒരു ദിവസം വെറും   ആളുകളിൽ നിന്നും സാമ്പിൾ ശേഖരിക്കാനേ  ഇതുവരെ ആരോഗ്യ വകുപ്പിന് കഴിഞ്ഞിട്ടുള്ളു  ഇതിൽ നിന്നാണ്   പോസിറ്റീവ് കേസുകൾ കിട്ടുന്നത്  എങ്കിൽ ഈ ഒരു ദിവസം തന്നെ ശേഷിക്കുന്ന മുഴുവൻ ആളുകളുടേയും സാമ്പിൾ പരിശോധിച്ചിരുന്നെങ്കിൽ  ഏതാണ്ട്   ലക്ഷത്തോളം പോസിറ്റിവ് കേസുകൾ കണ്ടെത്തുമായിരുന്നു  സത്യത്തിൽ ഇത്രയും രോഗികൾ ഒരു ദിവസം ഇവിടെ ഉള്ളതാണ് അതായത് നമ്മൾ അറിയാത്ത ഇത്രയും കൊറോണ രോഗികൾ നമുക്ക് ചുറ്റും ഉള്ളപ്പോഴും നമ്മൾ പേടിക്കുന്നില്ല  എന്നാൽ അതിൽ നിന്നും അതിൻ്റെ  കാൽ ശതമാനം രോഗികളെ നമ്മൾ തിരിച്ചറിയുമ്പോൾ  നമ്മുക്ക് പേടി  ആധി  പിന്നെ കുറെ കോപ്രായം കെട്ടലുകൾ  ഒന്ന് ആലോചിച്ച് നോക്കിക്കെ എന്ത് മണ്ടത്തരമാ നമ്മൾ കാണിക്കുന്നത് ലക്ഷക്കണക്കിന് രോഗികൾ നമ്മൾ അറിയാതെ കുറെ മാസങ്ങളായ് ഇവിടെ നമുക്ക് ഒപ്പം ഉണ്ട്  എന്നിട്ടും പ്രത്യേകിച്ച് ഒന്നും ഇവിടെ സംഭാവിക്കുന്നില്ല  ഇതിൽ ആരോഗ്യ വകുപ്പ് തിരിച്ചറിഞ്ഞ   വച്ച് അല്ലങ്കിൽ   വച്ച് എന്തെല്ലാം പേടിപ്പിക്കലുകളും കോപ്രായങ്ങളുമാണ് കാട്ടി കൂട്ടുന്നത്  ഇനി മരണനിരക്ക് കാൽക്കുലേറ്റ് ചെയ്യേണ്ടത് ഈ   വച്ചിട്ടല്ല  ഒരു ദിവസം ഇവിടുള്ള യാഥാർത്ഥരോഗികളുടെ എണ്ണമായ   ലക്ഷം  വച്ചിട്ടാണ്  അതായത്   ലക്ഷം കൊറോണ രോഗികളിൽ   പേർ മരിച്ചാൽ  അതിൻ്റെ മരണനിരക്ക്    മാത്രമേ വരിക ഉള്ളൂ  എന്നാൽ ആരോഗ്യ വകുപ്പ്   വച്ച് കാൽക്കുലേറ്റ് ചെയ്ത് മരണനിരക്ക്   എന്ന് കള്ളം പ്രചരിപ്പിക്കുന്നു    മരണം കൊറോണയുടെ പേരിൽ ചാർത്തി കൊടുക്കുന്നതാണന്ന വസ്തുതയും നമ്മൾ മനസ്സിലാക്കണംഇത്രയും കുറഞ്ഞ മരണനിരക്കുള്ള ഒരു രോഗത്തിന് വേണ്ടി  ഇജ്ജാതി പൂട്ടി കെട്ടലുകളും കോപ്രായങ്ങളും നടത്തി ഈ നാട് മുടിച്ച് ജനങ്ങളെ ജോലിയും കൂലിയും ഇല്ലാത്തവ വരാക്കി തീർക്കാൻ  ആരാണ് അവർക്ക് അധികാരം കൊടുത്തത് അല്ലങ്കിൽ ആർക്ക് വേണ്ടിയാണ് ഇതൊക്കെ അവർ ചെയ്യുന്നത്  പ്രിയ ജനങ്ങളെ നിങ്ങൾ ചിന്തിക്കുക ,Fake
2028,manorama good great,Fake
1053,കുംഭമേള നിരോധിക്കണം,Fake
3535,ഒരു ഉളിപ്പ് ഇല്ല,original
1577,വളരെ മികച്ച ഒരു ഇത് newmoonface,original
1122,അമേരിക്കയുടെ മരുന്ന് വില്പന സംശയമാണ് പൂർണമായും വിശ്വസിക്കാൻ വയ്യ പടച്ചവൻ കാക്കട്ടെ എല്ലാവരെയും നമുക്ക് പ്രാർത്ഥിക്കാം,Fake
2207,എന്താടോ ചോന്ന കൊടി കുത്തിയത് കണ്ടില്ലേ പിന്നെ കൊറോണ ആ വഴിക്ക് വരൂലടോ  by the by ജാഗ്രത മതി കേട്ടോ,original
2725,ആരോട് പറയാൻ ആരാടുത്ത് പറയാൻ സഹിക്കുക അതുതന്നെ,original
1341,kazhudagal ellaarum kandolimfacewithsymbolsonmouthfacewithsymbolsonmouthfacewithsymbolsonmouthfacewithsymbolsonmouthfacewithsymbolsonmouthfacewithsymbolsonmouthfacewithsymbolsonmouthfacewithsymbolsonmouth,original
3280,അമേരിക്കയിലെ പ്രശ്ങ്ങൾ ഒന്നും അറിയുന്നില്ലേ കറുത്ത വർഗ്ഗക്കകാരോട് കൂടി എല്ലാരും ചേർന്ന് ഒന്നിച്ചു നിന്ന് ഏകതക് വേണ്ടി ശ്രമിക്കുന്നത് കൊണ്ട് ആണോ നിങ്ങൾ നല്ല മനുഷ്യൻ ആണ് അത് കൂടി പറയുക സഹോ,Fake
766,പോക്കറ്റ് വീർത്തപ്പോൾ സഖാക്കളുടെ തലയിൽ നിന്നും കമ്മ്യൂണിസം ചോർന്നു പോയി അങ്ങനെ അങ്ങനെ ഈ ശാപംലോകത്തു നിന്നും തീർന്നു തീർന്നു പോകും,original
4166,ലേ പിണറായി ഇങ്ങിനെ അപമാനിക്കരുത് rollingonthefloorlaughing,original
1368,rajiyathu corona parathiyamanmare thalayil pokki vechu nyayikarikkunna ealla sudappikalodum epolanu ealla polayadimalkalum thani pakistan konam kanikkunnath janichamanninod koor olla oruthanum pattilla rajiyathu porathullavatekkalum vishaggell nammude rajiyathu thanne ond,Fake
3746,communist china,Fake
3497,സത്യമേ വജയാതെ,Fake
2913,chinaയുടെ കള്ളിക്കളിയാണിത്,Fake
1257,ചില മാധ്യമങ്ങൾ മാധ്യമ ധർമ്മം മറക്കുന്നു,Fake
3741,ചുവന്ന ബക്കറ്റിനെ പറ്റി പാട്ടിൽ പരാമർശിക്കുന്നില്ലല്ല്ലോ,original
4204,media should stop showing this thiruvadira clip cpm gets publicity by this they are expecting this only,original
4954,rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughingithenthkopile sarkarathintekoode kure vivaram illatha aalkaarumivide thalibane irakan onnuaalochikanundu,original
1615,avar parayunna karyangal adhyam anuvadhich koduk ennit parajayamanenkil ithu pole kutapeduthi ninnu kurakkada nayinte makkale,Fake
3083,വിവരക്കേടിന്റെ മന്ത്രിസഭ,original
3470,hindu onaranda samayampalluthachu kulichu kumbamalaku pokuuumoshaprapti kittum some pujyaraaaieummapranamam,Fake
301,its a  biowar,Fake
374,നല്ല അവതരണം എല്ലാ പ്രെസെന്റഷനും സൂപ്പർ,original
3196,സൂപ്പർ,original
3438,ethrem pettann corona virus thudach neekkan avark kazhiyatteefoldedhandsfoldedhandsfoldedhandsfoldedhands namuk daivathod prarthikkamfoldedhandsfoldedhandsfoldedhandsfoldedhands,Fake
2564,ഇങ്ങനെ anukilu ചൈന oru ഓർമ മാത്രം അകും,Fake
3581,aarum pedikadda  samsthana sarkar puthiyee  booster dose  kandupidichittu unduu  thiruvathira  dose ellarum yeduthal mathiiiii,original
2578,അന്തകൻ കോവിഡ്  മോദിയെയും അമിത് ഷായെയും കുറ്റം പറഞ്ഞാൽ കളി മാറും എന്ന ഭയം വേണം,Fake
973,choppu covidenu pediyappa sathyayittum,original
1814,hheeeeeiii manushyarude pravarthithannnee,Fake
4889,super speech,Fake
1404,balancing,Fake
1490,ആരൊക്കെയോ എന്തൊക്കെയോ പറയുന്നു എന്നു നിങ്ങൾ തന്നെ പറയുന്നു സത്യവും മിഥ്യയും നിങ്ങൾക്ക് തന്നെ അറിയില്ല ഇതെല്ലാം മനസ്സിലാക്കിയിട്ട് പറഞ്ഞാൽ പോരെ റഷ്യയിലും nകൊറിയയിലും ആയിരങ്ങൾ രോഗബാധിധരാണ്,Fake
189,പിണുവാതിര അടുത്ത ഏതെല്മ് നടക്കുന്ന സ്കൂൾ കലോത്സവത്തിൽ ഉൾപ്പെടുത്തണം എന്നാണ് എന്റെ ഒരു അഭിപ്രായം മഹാബലിയുടെ കഥകൾ കേരളം പാഡീല്ലേ അതുപോലെ സഗാവിന്റെ കഥാകൾ ജനം അറിയട്ടെ,original
2163,കാരണ ഭൂതൻ foldedhandsfoldedhandsfoldedhands,original
4798,പരനാറികൾ വിവരദോഷികൾ സ്കൂൾ അടച്ചു കുട്ടികൾക്ക് വാക്സിൻ നൽകി രോഗികൾ ആക്കും കൂട്ടികൾക്ക് രോഗപ്രതിരോധശേഷി ഉള്ളപ്പോൾ ചവർ വാക്സിൻ വാക്സിൻ വ്യക്തി താല്പര്യം,original
1790,nanamilley veenay,original
4287,innee naatil janangal verukkunna bootham,original
2074,അള്ളാഹു ന് പോലും ലെവന്മാരെ രക്ഷിക്കാൻ പറ്റിയില്ല പിന്നല്ലേ ലോക്ക് ഡൌൺ ഈ നാരികൾക്ക് തലയിൽ ചാണകമോ അതോ കളിമണ്ണോ ശവങ്ങൾ വെടിവെച്ചു കൊല്ലണം ഈ മത ഭ്രാന്തന്മാരെ,Fake
216,evaneyoke mukkaliyil letting adikkanam,original
3317,good video  watch my video also ,Fake
2390,മലബാർ എന്ന പേരിനെ അപമാനിപ്പിക്കുന്ന ഇവൻ മാന്യ വ്യക്തികളെ പണത്തിനായി അപമാനി,Fake
4106,sammelanam kazhinjhal eallavarum covid  manadhandam paalikkanam ok,original
2443,ഇത് തിരുവാതിര യല്ല  പിണുവാതിരാ,original
1008,it is   manmade decease by cruel people who are playing with the human life and enjoying their life,Fake
4267,അച്ചായന്റെ നാക്ക് പൊന്നാകട്ടെ,Fake
4490,k rail loode akashthoode parakkan erikkumbola oru thiruvaathira,original
3691,ഞമ്മക്ക്എന്തുമാകാംfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,original
4832,start immediately,Fake
820,പ്രതിപക്ഷത്തിരിക്കുമ്പോൾ പിണു ഇങ്ങനെ അലറിയേനെ എന്തൊരു രാഷ്ട്രീയ അധഃപതനം ആണിത് അധികാരമുണ്ടെന്നു കരുതി എന്തും ചെയ്യാമെന്നാണ് ഉമ്മൻ‌ചാണ്ടിയും കോൺഗ്രസ്സും കരുതുന്നുണ്ടെങ്കിൽ കയ്യും കെട്ടി ഇരിക്കില്ല സിപിഎം കേരളം കത്തും ജനം ആണ് വലുത് പാർട്ടീ അല്ല pillpill,original
148,എന്തായാലും വോട്ട് ചെയ്യ്ത് വിജയിപ്പിച്ച ആളുകൾക്ക് അഭിമാനിക്കാം flexedbiceps,original
3292,facewithsymbolsonmouthldf,original
1690,അർഹത ഇല്ലാത്തവരുടെ കയ്യിൽ അധികാരം കിട്ടിയാൽ ഇത് തന്നെ അവസ്ഥ,original
3824,ഇയാൾക്ക് ശെരിക്കും വട്ടാണ്ണ്,Fake
4976,എലാം കൂടി തിരുവാതിരകളി എന്ന കളി ഇല്ലാതാക്കി എല്ലാത്തിനും ഇ കമ്യൂണിസ്റ്റ് പാർട്ടി കേറി നാശ കോശം ആകുന്നുണ്ട് അതുകൊണ്ട് കേരളം എത്രയും വേഗം നാശത്തിൽ എത്തും എന്ന് ഉറപ്പ്,original
2891,ആശാന് അടുപ്പിലും ആകാം,original
4328,ഇതൊരു സ്പോൺസേർഡു പ്രോഗ്രാമാണോ ,Fake
2439,athe videshath ninn madangi corona keralathilek varunnu,Fake
604,ഗോ കൊറോണാ കൊറോണാ ഗോ,Fake
1897,classic program,original
4607,ഈ കേരളത്തിൽ ആർക്കെങ്കിലും corona vannal നാട്ടുകാർ എല്ലാവരും കൂടി മാനസികമായി തകർത്ത് കൊല്ലുംcorona positive ആണോ എന്ന് അറിയാതെ മനുഷ്യന്മാർ ജോലിക്ക് പോകുന്നു എങ്ങാനും govt അറിഞ്ഞാൽപിന്നെ containment zone aayiബിൽഡിംഗിൽ പ്രശ്നമായിപേര് വിവരം ടിവിയിൽ വരുംഇതൊക്കെ ഒഴിവാക്കാവുന്നത് അല്ലേനാട്ടുകാര് മുഴുവൻ പോസറ്റീവ് ആയ മനുഷ്യനെ പ്രാകി ഇതൊക്കെ ഒന്ന് നിറുത്തി ചില restrictions വെച്ച് മുന്നോട്ട് പോയികൂടെ സർക്കാർ ഇപ്പൊൾ അടുത്ത election വേണ്ടി മുന്നൊരുക്കം നടത്തുന്നു,Fake
1853,enth pattan facewithtearsofjoyfacewithtearsofjoy,original
3367,full drama,original
5045,facewithtearsofjoyfacewithtearsofjoyഎന്താ ലേ manfacepalming,original
1584,എവിടെ പോയി ആർണബ് ഗോസ്വാമി മുസ്ലിംങ്ങൾ തങ്ങളുടെ ആചാരങ്ങൾ പാലിക്കുന്നതിന് വേണ്ടിയാണ് തബ്ലീക്കിൽ പോയത് എന്ന വാദം ഉന്നയിച്ചിരുന്നു എങ്കിൽ താങ്കൾ ആ വാദം സ്വീകരിക്കേണ്ടി  വരുമായിരുന്നു ഒരു കാര്യം ഉറപ്പ് മുസ്ലിംങ്ങൾ തെറ്റൊന്നും ചെയ്തില്ലെങ്കിലും അവരെ കുറ്റക്കാരായി ചിത്രീകരിക്കുക എന്നതാണ് പല വ്യക്തികളുടെയും ഉദ്ദേശം,Fake
2864,അപ്പോള്‍ പുകവലി തുടങ്ങാം മരിക്കില്ലല്ലോ,Fake
520,ശാസ്ത്രം പഠിച്ച വൈദ്യന്മാര്‍ കോവിട്ന്റെ ആദ്യകാലത്ത്   കാലത്തു കരോനയിക്കുസമാനമായ രോഗം ഉണ്ടായതായി പറഞ്ഞു അന്നുരോഗം ചികിത്സിച്ചു ഭേദമാക്കിയ ഡോക്ടര്‍മാരുടെ പേരും പറഞ്ഞിരുന്നു  ചിലമാരുന്നുകളെപ്പറ്റിയുംപറഞിരുന്നു  നന്മുടെ കുട്ടനാട്ടില്‍ ആയിരുന്നു രോഗം,Fake
2512,vijayane  naattil  ninnum  thalli  odikanam,original
2049,എങ്ങനെ നോക്കിയാലും പൊട്ടത്തരത്തിൽ കമ്മികളെ തോൽപ്പിക്കാൻ ആവില്ല അവർ വേറെ ലെവൽ,original
2804,ഇതുവരേക്കും എടുത്തിട്ടില്ല ഇനിയും എടുക്കില്ല എന്തിന് കൊറോണ വരും പോകും  കൊറോണ കത്തി നിന്ന സമയത്ത് പേടിച്ചില്ല പിന്നെയാണോ ഇപ്പ,Fake
1365,pavapettavan kaliyanam nadathiyal avanu ella prottocolum badhakam,original
4481,eeandamkammikalnadinaapath,original
934,thableeq prasthanathanam katiya chetatharam yadartha muslingal utharavadi allaavare arrest cheyd jailil adakanamindian muslims ennum rajyathe janangalude koodeyanuthumbsupthumbsup,Fake
1491,പിണുവാതിരാ,original
1689,പുതിയ മതദേഹം കണ്ടുപിടിച്ചു തിരുവാതിര ദേഹം ഇത് പിടിവിട്ടാൽ മരുന്ന് ഇന്ത്യയിൽ ഇല്ല ഒന്നുകിൽ അമേരിക്ക അല്ലെങ്കിൽ ക്യൂബ ഇവിടെ മാത്രമേ ചികിത്സ യുള്ളൂ,original
1669,ഹോ ഭയങ്കരം    ഒരായിരം ചുടലയക്ഷികള്‍,original
4898,athoke epoll ariyonollu kolallo,Fake
4842,china lokathinu bheeshani anumaricha    lakh perudeyum kudumbangaludeyum   varshathe chilavu vahikan chinaku mel loka rajyangal samardam cheluthanam,Fake
3105,കെജ്രിവാൾ  വർഗീയഫാസിസ്റ് ഞമ്മള വലിയമതത്തിനോടുള്ള  അസൂസയാണിത്,Fake
1762,a new country arose in coroniyan era,Fake
3006,the death rate has reduced  its because  the less immunity people old people had died already,Fake
1792,അത് അവിടെ മറിക്കാൻ മനുഷ്യർ ഇല്ലാത്തതുകൊണ്ടാണ്,Fake
3215,അലവലാതി ഭരണം എന്നിട്ടാണ് കല്യാണം ആളെ കുറച്ചു എന്നൊക്കെ പറയുന്നേ നാണം കെട്ട സിപിഎം,original
